(use LMB),(Left MB),(ЛКМ),(Botão esquerdo do Mouse)
(use RMB),(Right MB),(ПКМ),(Botão direito do Mouse)
use a button,Use {a} button,Используй кнопку {a},Use o botão {a}
defeat: again,I couldn't do it... Again... Another forest... We lost.,Я не смог... Опять... Еще один лес... Мы проиграли.,Eu não consegui... De novo... Outra floresta... Nós perdemos...
Illustrations: tribes,"In the Sunset Forest, two types of nymphs coexist in perfect harmony, thus maintaining balance in the forest, the Day and Night Nymphs. If they play their roles, the forest lives.",Лес Заката поддерживает идеальную гармонию между двумя видами нимф - Нимфами Дня и Ночи. Исполняя свое предназначение они поддерживают жизненный баланс этого места.,"Na Floresta do Crepúsculo, dois tipos de ninfas coexistem em perfeta harmonia, mantendo, dessa forma, o equilíbrio da floresta. As Ninfas Diurnas e Noturnas. Se elas exercerem seus papeis, a floresta vive."
Illustrations: enemies,"But breaking the veil of the queendoms, the Night Nymphs threatened to swallow the whole forest and no longer be limited by time and duty.","Однако Ночные Нимфы прорвали занавес между двумя силами королевства, чтобы поглотить весь лес, избавившись от оков судьбы и времени.","Mas quebrando o véu dos domínios, as Ninfas Noturnas ameaçaram engolir toda a floresta e não serem mais limitadas pelo tempo e dever."
Illustrations: shrine,"To achieve this, they would have to break the essential pillar of the existence of that sacred place, the Goddess Crystal, resting in its shrine after unleashing most of its power in a forgotten war ","Для этого им придется разрушить священную опору мироздания - Кристалл Богини, что покоится в святилище после забытой войны уже несколько тысячелетий.","Para alcançar isso, elas teriam que quebrar o pilar essencial da existência daquele local sagrado: O Cristal da Deusa, que estava descansando em seu altar após liberar a maior parte de seu poder numa guerra esquecida a alguns milênios atrás."
Illustrations: druid,"But nature has its own weapons and from the womb of the earth the personified balance was born, carrying all the power of the between and capable of purifying any of the nymphs.","Но у природы есть свои силы, и из утробов земли появился баланс во плоти. Ему подвластны сила и энергия обеих сторон, и только он может установить равновесие.","Mas a natureza tem suas próprias armas, e do útero da Terra o equilíbrio personificado nasceu, carregando todo o poder do crepúsculo e sendo capaz de purificar qualquer ninfa."
Illustrations: staff,The legendary battle that would decide the future of the forest was approaching and all the defenders of the sacred land would answer the call of its Mother.,"Легендарная битва, что решит учесть леса вот-вот начнется, и все защитники святилища ответили на зов Матери.","A batalha legendária que decidiria o futuro da floresta estava se aproximando, e todos os defensores da Terra Sagrada responderiam ao chamado de sua Mãe."
SKIP,SKIP,ПРОПУСТИТЬ,AVANÇAR
Illustrations: skip tip,Hold Escape to skip all illustrations,"Удерживайте Esc, чтобы пропустить все иллюстрации",Segure ESC para pular todas as illustrações.
New game,New Game,Новая Игра,Novo Jogo
Credits,Credits,Титры,Créditos
Settings,Settings,Настройки,Configurações
Exit,Exit,Выйти,Sair
Debug,Debug,Отладка,Debug
Audio,Audio,Аудио,Áudio
Game,Game,Игра,Jogo
Controls,Controls,Управление,Controles
Back,Back,Назад,Voltar
Music,Music,Музыка,Música
Sounds,Sounds,Звуки,Sons
Silence,Silence,Тишина,Silêncio
Default,Default,По Умолчанию,Padrão
Difficulty,Difficulty,Сложность,Dificuldade
Skills,Skills,Способности,Habilidades
Alternative Keys,Alternative Keys,Альтернативные Клавиши,Controles Alternativos
Mouse to Keys,Mouse to Keys,Альтернатива Мыши,Controles Alternativos do Mouse
Attack,Attack,Удар,Atacar
Push,Push,Толчок,Empurrar
Interaction,Interaction,Взаимодействие,Interagir
Jump,Jump,Прыжок,Pular
Ice Trap,Ice Trap,Ледяная Ловушка,Armadilha Congelada
Fire Ball,Fire Ball,Огненный Шар,Bola Flamejante
Wind Up,Wind Up,Порыв Ветра,Ventania
Thunder,Thunder,Молния,Trovões
Quick Start,Quick Start,Быстрое Начало,Início Rápido
Day & Night,Day & Night,День и Ночь,Dia & Noite
Enemies,Enemies,Противники,Inimigos
Boss,Boss,Босс,Chefe
Enemies Used,Enemies Used,Противники в игре,Inimigos Usados
All Enemies,All Enemies,Все противники,Todos os Inimigos
First Steal,First Steal,Первая Кража,Primeiro Roubo
use a key,Use {a} key.,Используйте кнопку {a},Use o botão {a}
(a button),({a} button).,(кнопка {a}),(Botão {a})
tutorial_intro,"Welcome to the Sunset Forest, my friend!",Добро пожаловать в Лес Заката мой друг!,"Bem vinde à Floresta do Crepúsculo, minhe amigue!"
press_space_to_continue,Press Space To Continue,Нажмите Пробел,"Pressione ""Espaço"" para continuar."
Shooka,Shooka,Шука,Shooka
Komar,Komar,Комар,Komar
Bohra,Bohra,Бохра,Bohra
Douhta,Dou'hta,Ду'хта,Dou'hta
Ruga,Ruga,Рюга,Ruga
Voa,Voa,Воа,Voa
Coluna,Coluna,Колунна,Coluna
Momma,Momma,Мамма,Momma
Minion,Bomwir,Бомвир,Bomwir
defeat: player died,Don't leave me... Please...,Не покидай меня... Прошу...,Não me deixe... Por favor...
Continue,Continue,Продолжить,Continue.
defeat: crystal broken,"No... Not again, no! The pain...",Нет... Только не снова! Как больно...,Não... De novo não... Não! A dor...
tutorial: good morning,"Good morning, my friend, and welcome to the Sunset Forest!","Доброе утро, мой друг, и добро пожаловать в Лес Заката!","Bom dia, minhe amigue, e bem vinde a Floresta do Crepúsculo!"
tutorial: less words,Let me be straight forward with you: I need your help to protect this place today.,"Буду краток: мне нужна твоя помощь, чтобы защитить это место сегодня.",Deixe-me ser direte com você: Eu preciso de sua ajuda para proteger este lugar hoje.
tutorial: explain later,"Don't ask me anything yet, please. Just listen carefully and learn how to control your power.","Не задавай вопросов, пока. Смотри внимательно, учись контролировать силу.","Não me pergunte nada ainda, por favor. Apenas ouça com cuidado e aprenda como controlar seu poder"
tutorial: dummy,This is Dummy. He's a nice buddy. That said... don't hesitate to whack him during our tutorial! He will be alright.,"Это Дамми, мой друг. И все же… Не стесняйся его ударить во время нашего обучения.",Esse é Dummy. Elu é ume boe amigue. Dito isso... não hesite em descer o sarrafo nelu durante o tutorial! Elu ficará bem.
tutorial: repeat,"Ok, now try doing it to Dummy.","Отлично, а теперь попробуй повторить это с нашим другом.","Ok, agora tente fazer o mesmo com Dummy."
tutorial: good job,"Well done. But you mustn't forget about defense. So, you can push enemies back or dash away from them. Try pushing dummy first.","Отлично, но нельзя забывать о защите. Отталкивай врагов или уклоняйся от их атак. Попробуй толкнуть Дамми.","Bom trabalho. Mas você não deve se esquecer da defesa. Então, você pode empurrar inimigues ou se impulsionar para longe delus. Tente empurrar Dummy primeiro."
use Shift backwards,Use Shift while not running,"Используй Shift, стоя на месте","Use ""Shift"" enquanto não estiver correndo."
tutorial: dash,Good job! Now dash forward and attack Dummy.,Отлично! Теперь сделай рывок и ударь Дамми.,Bom trabalho! Agora se impulsione para frente e ataque Dummy.
tutorial: skills,"Very nice. Now, let's head to the most interesting part: magic! We have a range of 4 skills to use today. Try them all, my friend!","Очень хорошо. Теперь к самому интересному: магии! Посмотрим, что ты можешь.","Muito bem. Agora vamos para a parte mais interessante: mágica! Nós temos quatro habilidades para usar hoje. Tente todas elas, minhe amigue!"
tutorial: after skills,"Well done. Skills can also be upgraded to special skills. Usually, you'd unlock these in battle, but I'll speed things up this time.","Отлично! В битве твои способности будут накапливать энергию для мощного всплеска, но на этот раз я ускорю процесс.","Bom trabalho. Habilidades podem ser aprimoradas para habilidades especiais. Normalmente elas são desbloqueadas em batalha, mas eu vou acelerar as coisas dessa vez."
tutorial: end,"Great! Now, you can freely play with Dummy. As soon as you are ready, do this:","Прекрасно! Оставляю тебя наедине с Дамми, веселитесь. Как только будешь готов, сделай это:","Ótimo! Agora você pode brincar com Dummy livremente. Quando você estver pronte, faça isso:"
use skill keys,Use skill keys,Используй кнопки способностей,Use as teclas de habilidade.
tutorial: dash backwards,You can also dash backwards. Just try!,"Ты можешь делать и рывок назад, попробуй.",Você também pode se impulsionar para trás! Tente!
use Alt,Hold Alt,Удерживай ALT,"Segure ""Alt"""
